10000 100000
0 1 9
0 5 2
0 7 7
0 94 1
0 282 5
0 344 5
0 356 6
0 561 5
0 671 1
0 1061 5
0 1094 8
0 1119 6
0 1591 3
0 2447 8
0 3022 2
0 3275 3
0 3514 3
0 4298 8
0 5444 3
0 7267 6
0 8178 7
0 8263 5
0 9135 4
1 2 2
1 4 8
1 8 10
1 16 8
1 17 9
1 38 4
1 65 2
1 71 6
1 79 7
1 296 7
1 399 8
1 574 4
1 769 6
1 829 2
1 934 10
1 1018 1
1 1604 5
1 2393 5
1 2703 5
1 4213 3
1 4318 2
1 4532 1
1 4929 6
1 5357 3
1 5753 2
1 7941 4
1 8179 1
1 8394 4
1 8877 1
1 8986 7
1 9991 9
2 3 2
2 15 5
2 56 6
2 80 1
2 139 7
2 201 5
2 206 5
2 284 10
2 455 6
2 627 7
2 706 8
2 1125 5
2 1155 2
2 1248 2
2 1588 2
2 2688 4
2 3472 7
2 4014 1
2 4023 10
2 4291 3
2 4795 5
2 4947 3
2 5174 6
2 5803 8
2 6037 3
2 6626 6
2 6696 9
2 6959 5
2 7121 9
2 7287 5
2 7418 5
2 7449 7
2 7849 1
2 8702 2
2 9741 10
3 6 1
3 19 4
3 107 9
3 149 2
3 249 4
3 251 6
3 255 3
3 1210 3
3 1273 3
3 2016 7
3 2491 6
3 2700 6
3 2784 10
3 3208 8
3 3398 10
3 3478 3
3 3517 3
3 4028 2
3 4462 6
3 5029 5
3 5903 4
3 6778 1
3 7005 7
4 9 3
4 52 3
4 91 4
4 140 5
4 264 3
4 341 7
4 360 7
4 455 10
4 695 5
4 886 1
4 1215 1
4 1609 3
4 1897 3
4 2143 5
4 2904 3
4 4064 5
4 5070 6
4 5126 8
4 5534 2
4 6130 4
4 7085 10
4 7654 2
4 7994 7
4 9884 3
5 61 1
5 72 5
5 873 4
5 1793 6
5 1803 10
5 2123 10
5 2249 2
5 2272 4
5 2340 9
5 2514 10
5 2683 7
5 3849 5
5 4181 2
5 4403 6
5 6104 4
5 6576 10
5 6693 8
5 6820 4
5 7758 1
5 7949 5
5 8373 9
5 9992 1
6 10 6
6 12 6
6 100 7
6 548 1
6 722 9
6 841 9
6 1453 9
6 1622 2
6 2328 7
6 2405 10
6 3564 10
6 4041 1
6 4380 4
6 6082 3
6 7696 9
6 7858 3
6 8111 3
6 8275 2
6 8294 9
6 8438 8
6 8732 1
7 11 9
7 21 9
7 76 4
7 228 2
7 285 9
7 410 3
7 613 6
7 722 10
7 921 6
7 1475 7
7 1514 1
7 1795 5
7 1842 4
7 2050 5
7 2120 2
7 2409 5
7 2625 3
7 3016 10
7 5069 8
7 5553 2
7 5981 2
7 6061 8
7 6750 3
7 6827 2
7 8827 9
7 8986 8
7 9024 10
7 9825 9
7 9829 7
8 24 7
8 42 5
8 106 1
8 134 7
8 153 10
8 196 1
8 272 4
8 1073 1
8 1283 2
8 1391 8
8 1766 8
8 2108 9
8 2523 1
8 2553 1
8 2558 2
8 3430 1
8 3484 7
8 3683 9
8 3922 3
8 4042 5
8 4246 6
8 4542 8
8 4632 7
8 4904 4
8 5325 1
8 6162 2
8 6424 3
8 6703 4
8 7040 4
8 7593 9
8 7780 6
8 8346 1
8 8369 10
8 9474 1
9 20 4
9 22 5
9 290 7
9 360 8
9 413 6
9 933 8
9 1246 6
9 1344 2
9 1627 6
9 2546 2
9 2751 7
9 2878 3
9 3189 6
9 3331 9
9 3639 9
9 3689 6
9 4336 9
9 4697 7
9 5104 4
9 5152 1
9 5160 1
9 5205 1
9 5569 1
9 6762 9
9 6928 9
9 7125 9
9 7150 5
9 7265 5
9 8375 4
9 9244 4
9 9502 7
10 13 5
10 128 10
10 223 3
10 237 6
10 341 10
10 634 8
10 673 5
10 718 9
10 2938 10
10 3632 1
10 3759 6
10 3892 3
10 4490 7
10 4713 3
10 4743 10
10 5017 2
10 5474 1
10 5489 2
10 5966 1
10 6487 8
10 6576 1
10 6661 6
10 7675 5
10 8521 2
10 9290 6
11 89 6
11 177 1
11 183 8
11 191 6
11 218 8
11 559 6
11 636 5
11 724 2
11 965 2
11 1052 8
11 1085 4
11 1695 6
11 1710 3
11 1729 10
11 1838 7
11 2107 5
11 2458 8
11 4467 6
11 4624 3
11 4685 8
11 4788 5
11 4857 10
11 5212 9
11 5871 6
11 6389 9
11 6436 3
