10000 10000
0 1 4
0 2 9
0 4 2
0 8 9
0 21 7
0 26 6
0 37 3
0 131 3
0 264 6
0 375 8
0 400 2
0 744 5
0 756 8
0 6616 8
1 427 6
1 538 7
1 620 2
1 669 7
1 5048 7
2 3 7
2 25 1
2 73 6
2 84 10
2 93 2
2 122 6
2 238 2
2 317 8
2 390 3
2 3898 1
3 5 4
3 6 10
3 16 9
3 33 8
3 207 9
3 244 8
3 374 3
3 1442 10
3 2447 9
3 2810 7
4 12 8
4 18 8
4 39 2
4 68 4
4 697 3
4 1243 10
4 2082 6
4 6245 5
5 27 2
5 49 4
5 51 10
5 63 5
5 124 1
5 137 6
5 143 9
5 268 10
5 326 1
5 888 6
6 7 8
6 17 10
6 32 5
6 41 6
6 229 8
6 609 2
6 3031 3
6 4125 6
6 4362 5
7 40 4
7 116 3
7 148 7
7 328 2
8 9 2
8 11 1
8 24 2
8 47 9
8 318 3
9 10 7
9 55 5
9 443 6
9 589 5
9 3930 6
9 5557 7
10 13 4
10 20 3
10 23 10
10 31 6
10 46 8
10 66 5
10 130 9
10 321 10
10 2232 4
10 6940 10
10 7385 3
11 14 10
11 65 10
11 829 9
11 4675 7
11 5742 5
11 9955 5
12 58 6
12 107 2
12 448 9
12 6861 5
13 411 7
13 1475 9
14 15 4
14 45 3
14 96 4
14 178 8
14 506 3
14 540 1
14 752 4
14 1033 10
14 1546 8
15 19 7
15 29 6
15 67 8
15 187 2
15 285 5
15 3769 5
15 6369 1
16 34 10
16 44 4
16 53 10
16 80 10
16 109 5
16 397 1
16 548 5
16 1390 10
16 2789 5
16 9786 2
17 163 3
17 629 2
17 840 4
17 1348 9
17 6597 9
18 22 8
18 62 10
18 213 9
18 885 3
18 1494 3
18 6778 2
18 9892 3
19 43 3
19 128 5
19 138 8
19 298 4
19 9682 2
20 30 7
20 35 7
20 100 7
20 316 4
20 338 2
20 414 8
20 2023 5
20 2078 2
20 4303 3
20 9535 9
21 54 9
21 79 8
21 119 4
21 234 6
21 334 2
21 664 2
21 884 5
21 1404 2
21 1898 10
21 2673 10
21 3421 4
21 3603 5
22 38 2
22 179 2
22 218 2
22 409 4
22 1193 2
22 2366 10
23 1319 9
23 7372 7
24 28 6
24 183 7
24 1174 3
24 1674 9
24 1740 10
24 4821 6
25 108 3
25 253 3
25 363 5
25 658 7
25 694 1
25 960 7
26 776 9
26 9510 1
27 819 8
27 2492 4
27 2991 3
27 3910 4
27 9937 8
28 156 1
28 189 4
28 301 5
28 2498 6
28 5352 1
29 56 9
29 185 3
29 1978 4
29 4137 10
30 88 10
30 132 4
30 3415 6
30 5324 8
30 6248 1
30 8316 2
31 191 7
31 366 9
31 1639 6
31 2518 8
31 3523 3
31 9175 2
32 36 9
32 233 2
32 821 5
32 1003 9
32 2079 10
32 3411 5
32 7156 10
33 255 4
33 484 10
33 1015 4
33 4921 7
33 6588 6
34 165 2
34 206 4
34 248 3
34 4671 2
34 7209 8
34 7982 2
35 69 9
35 272 9
35 417 8
35 3736 10
35 4957 8
36 48 9
36 50 8
36 186 8
36 331 9
36 492 3
36 584 7
36 711 7
36 6433 5
36 9742 2
37 74 6
37 196 5
37 210 5
