5000 100000
0 1 4
0 3 1
0 63 2
0 118 7
0 228 5
0 264 10
0 686 3
0 742 4
0 800 5
0 968 1
0 1044 4
0 1105 2
0 1117 9
0 1135 7
0 1141 8
0 1564 4
0 1661 3
0 1675 10
0 2045 2
0 2128 1
0 2196 1
0 2331 6
0 2364 6
0 2366 6
0 2470 5
0 2531 3
0 2672 5
0 2684 10
0 2696 6
0 2886 4
0 3262 1
0 3320 5
0 3670 6
0 3731 2
0 4108 6
0 4351 9
0 4355 2
0 4413 1
0 4542 9
0 4588 1
0 4664 7
1 2 5
1 3 8
1 15 4
1 20 3
1 35 9
1 135 5
1 162 1
1 187 8
1 206 8
1 342 8
1 576 7
1 746 8
1 804 1
1 839 6
1 964 8
1 1162 4
1 1215 2
1 1531 6
1 1913 1
1 1952 10
1 2035 1
1 2053 7
1 2071 4
1 2160 7
1 2292 9
1 2415 5
1 2544 5
1 2875 6
1 2910 2
1 3217 2
1 3517 7
1 3526 10
1 3720 7
1 3721 10
1 3951 4
1 4003 3
1 4015 5
1 4152 4
1 4293 2
1 4299 3
1 4459 3
1 4477 6
1 4994 1
2 4 6
2 7 8
2 13 2
2 16 8
2 29 4
2 65 5
2 146 4
2 771 5
2 807 10
2 851 6
2 869 4
2 880 4
2 889 4
2 1002 5
2 1062 10
2 1184 9
2 1223 2
2 1243 7
2 1330 3
2 1522 2
2 1540 10
2 1585 2
2 1717 9
2 1753 4
2 1896 10
2 1969 6
2 2304 8
2 2404 5
2 2417 1
2 2439 7
2 2720 9
2 2752 6
2 3015 5
2 3108 5
2 3156 4
2 3317 7
2 3579 1
2 3630 8
2 4078 3
2 4085 7
2 4485 7
2 4507 1
2 4646 9
2 4791 10
3 5 7
3 18 3
3 34 4
3 45 8
3 76 9
3 94 8
3 155 4
3 241 6
3 309 5
3 313 10
3 368 9
3 514 10
3 543 5
3 685 7
3 734 1
3 854 3
3 878 6
3 928 6
3 1100 2
3 1424 10
3 1466 2
3 1471 1
3 1500 3
3 1681 1
3 1697 2
3 1747 1
3 1958 3
3 1985 5
3 2054 1
3 2127 8
3 2187 8
3 2223 7
3 2329 2
3 2451 8
3 2535 6
3 2789 8
3 2906 5
3 2938 7
3 3056 2
3 3066 7
3 3110 3
3 3122 5
3 3141 2
3 3286 2
3 3354 1
3 3360 8
3 3486 5
3 3548 8
3 3675 9
3 3731 8
3 3792 1
3 3883 1
3 3949 1
3 3970 9
3 4012 7
3 4045 8
3 4113 7
3 4405 3
3 4524 5
3 4539 5
3 4984 6
4 10 9
4 12 4
4 17 7
4 21 10
4 110 4
4 190 5
4 326 7
4 640 10
4 664 6
4 768 2
4 1138 7
4 1193 8
4 1264 7
4 1335 5
4 1362 5
4 1390 2
4 1433 3
4 1481 9
4 1584 4
4 1649 8
4 1948 9
4 2086 2
4 2197 5
4 2439 4
4 2638 8
4 2798 7
4 2979 2
4 2983 2
4 3347 7
4 3448 4
4 3533 4
4 3599 8
4 3657 10
4 3756 3
4 3810 5
4 4024 4
4 4114 3
4 4190 8
4 4326 4
4 4405 3
4 4429 3
4 4691 5
4 4768 5
5 6 6
5 9 2
5 103 8
5 198 7
5 204 9
5 344 2
5 581 5
5 616 3
5 642 1
5 670 3
5 705 2
5 856 10
5 1063 2
5 1254 9
5 1298 7
5 1371 6
5 1450 6
5 1605 1
5 1619 2
5 1759 9
5 1809 1
5 1890 4
5 1905 3
5 1929 7
5 1955 4
5 2063 5
5 2067 2
5 2095 6
5 2234 5
5 2737 7
5 2803 8
5 2822 9
5 2865 1
5 2883 8
5 2896 5
5 2921 2
5 2964 3
5 3155 8
5 3255 1
5 3473 5
5 3501 3
5 3507 5
5 4052 1
5 4064 2
5 4364 7
5 4421 5
5 4447 7
5 4554 3
5 4636 4
5 4856 9
6 8 4
6 33 6
6 145 3
6 311 3
6 329 4
6 399 4
6 482 4
6 576 7
6 594 2
6 631 10
6 828 9
6 999 4
6 1159 1
6 1267 6
6 1375 10
6 1437 6
6 1644 8
6 2080 1
6 2119 10
6 2157 5
6 2201 9
6 2427 7
6 2446 9
6 2532 8
6 2664 5
6 2682 6
6 2695 6
6 2797 5
6 2923 8
6 2947 4
6 3036 7
6 3268 1
6 3393 3
6 3432 9
6 3434 8
6 3587 2
6 3970 2
6 4178 7
6 4204 7
6 4249 5
6 4327 4
6 4368 6
6 4436 4
6 4612 5
6 4631 1
6 4804 1
7 27 3
7 38 6
7 288 9
7 312 8
7 338 9
7 480 1
7 560 4
7 854 2
7 859 2
7 979 8
7 1027 10
7 1106 2
7 1125 6
7 1158 10
7 1172 2
7 1309 4
7 1337 4
7 1345 2
7 1582 1
7 1750 3
7 1766 10
7 1969 9
7 2056 2
7 2475 6
7 2598 8
7 2619 6
7 2919 1
7 3001 10
7 3015 10
7 3032 8
7 3059 3
7 3161 3
7 3434 4
7 3884 6
7 4009 1
7 4028 2
7 4186 6
7 4205 2
7 4257 1
7 4685 3
7 4717 4
7 4741 1
7 4772 3
7 4830 9
7 4839 8
8 14 3
8 20 6
8 54 9
8 66 1
8 96 7
8 157 4
8 242 1
8 309 1
8 376 1
8 561 2
8 659 2
8 674 10
8 702 9
8 727 2
8 901 4
8 903 8
8 1133 2
8 1516 4
8 1711 1
8 1827 8
8 2236 4
8 2402 9
8 2512 10
8 2696 3
8 2737 7
8 3094 6
8 3317 10
8 3508 4
8 3674 9
8 3851 3
8 3951 4
8 4097 7
8 4193 6
8 4315 10
8 4577 1
8 4632 3
8 4714 1
8 4844 1
9 11 8
9 25 9
9 44 8
9 63 2
9 134 3
9 165 1
9 231 6
9 238 7
9 952 8
9 963 1
9 1065 6
9 1305 10
9 1342 6
9 1496 1
9 1580 8
9 1616 7
9 1642 5
9 1732 8
9 1871 9
9 2092 5
9 2139 8
9 2184 5
9 2193 8
9 2255 7
9 2256 7
9 2417 9
9 2502 5
9 2519 6
9 2703 9
9 2734 9
9 2749 5
9 2753 5
9 3039 8
9 3389 2
9 3852 7
9 3941 4
9 4011 2
9 4041 8
9 4101 4
9 4268 7
9 4277 2
9 4335 2
9 4469 5
9 4473 3
9 4648 6
9 4655 9
9 4684 6
9 4784 4
9 4814 2
9 4979 3
10 60 7
10 165 7
10 183 2
10 206 3
10 218 4
10 263 3
10 377 8
10 598 5
10 831 6
10 926 7
10 996 5
10 999 6
10 1100 8
10 1469 3
10 1547 4
10 1755 9
10 2097 5
10 2199 8
10 2238 5
10 2319 6
10 2321 3
10 2369 6
10 2523 8
10 2604 8
10 2736 2
10 3045 7
10 3186 5
10 3207 8
10 3410 3
10 3482 5
10 3618 5
10 3679 10
10 3701 10
10 3767 1
10 3821 7
10 3970 1
10 4006 2
10 4310 5
10 4492 5
10 4776 3
10 4918 4
10 4920 1
10 4960 3
10 4992 8
11 33 2
11 151 6
11 313 7
11 459 1
11 472 10
11 509 3
11 511 3
11 908 3
11 1033 4
11 1126 3
11 1237 2
11 1258 4
11 1354 1
11 1546 9
11 1672 8
11 1710 1
11 1717 6
11 1723 5
11 1731 8
11 2006 7
11 2119 7
11 2143 3
11 2244 1
11 2608 7
11 3075 6
11 3206 7
11 3427 4
11 3543 8
11 3854 4
11 4053 4
11 4102 1
11 4402 5
11 4675 4
11 4746 10
11 4758 5
11 4830 3
11 4865 7
12 19 1
12 41 6
12 46 6
12 98 8
12 352 7
12 455 10
12 681 6
12 857 2
12 871 2
12 959 3
12 1181 1
12 1201 8
12 1245 8
12 1306 6
12 1840 1
12 1919 1
12 2000 5
12 2294 9
12 2297 9
12 2570 5
12 2604 8
12 2620 7
12 2636 8
12 2645 5
12 2695 3
12 3169 4
12 3310 6
12 3465 8
12 3533 5
12 3566 10
12 3613 3
12 3621 3
12 3657 9
12 3728 1
12 3914 3
12 3916 1
12 4083 5
12 4149 1
12 4296 3
12 4497 5
12 4547 9
12 4563 2
12 4574 7
12 4893 3
12 4911 8
13 87 5
13 137 8
13 273 5
13 469 8
13 519 8
13 522 6
13 537 1
13 628 10
13 877 9
13 1067 8
13 1083 7
13 1107 1
13 1117 1
13 1121 10
13 1218 1
13 1256 3
13 1368 6
13 1380 5
13 1624 9
13 1707 9
13 1726 9
13 1756 3
13 1889 6
13 2185 4
13 2205 1
13 2213 2
13 2221 3
13 2821 2
13 3306 7
13 3308 2
13 3440 1
13 3553 10
13 3795 10
13 3891 5
13 4339 2
13 4342 5
13 4383 1
13 4636 4
13 4713 8
13 4817 3
14 28 1
14 48 3
14 90 10
14 148 4
14 173 1
14 208 5
14 221 9
14 270 10
14 345 9
14 365 9
14 368 8
14 375 2
14 495 10
14 548 1
14 577 4
14 691 9
14 765 4
14 777 8
14 794 7
14 854 8
14 982 6
14 998 8
14 1019 2
14 1048 3
14 1112 9
14 1302 7
14 1378 2
14 1575 10
14 1795 3
14 2034 6
14 2156 3
14 2158 6
14 2167 8
14 2187 6
14 2581 5
14 2601 3
14 2642 5
14 2707 3
14 2743 9
14 2937 8
14 2941 5
14 2998 8
14 3060 5
14 3207 6
14 3404 1
14 3438 8
14 3558 3
14 3695 7
14 3768 9
14 4019 3
14 4153 9
14 4466 7
14 4721 10
14 4819 8
14 4862 4
15 36 4
15 280 2
15 378 2
15 397 9
15 460 4
15 512 8
15 664 2
15 692 6
15 722 8
15 834 3
15 874 10
15 902 4
15 1076 1
15 1451 4
15 1647 2
15 1743 9
15 1815 6
15 1922 3
15 1991 2
15 2021 4
15 2223 5
15 2318 5
15 2519 10
15 2542 7
15 2642 1
15 2654 6
15 2738 2
15 2761 7
15 2793 6
15 2998 5
15 3026 4
15 3128 4
15 3403 3
15 3408 1
15 3577 6
15 3596 5
15 3803 9
15 3999 7
15 4017 10
15 4059 2
15 4083 7
15 4436 7
15 4519 3
15 4530 9
15 4629 1
15 4730 7
15 4877 10
15 4903 10
16 30 10
16 170 5
16 191 3
16 206 4
16 299 10
16 374 1
16 445 9
16 517 6
16 712 1
16 866 6
16 1613 8
16 1722 7
16 1810 10
16 1981 10
16 2075 9
16 2193 3
16 2347 4
16 2385 10
16 2603 1
16 2628 8
16 2941 2
16 3200 10
16 3231 2
16 3406 8
16 3453 4
16 3541 5
16 3564 8
16 3747 4
16 4012 6
16 4081 7
16 4547 6
16 4686 1
16 4760 4
17 38 9
17 56 1
17 57 1
17 122 1
17 181 5
17 199 7
17 219 9
17 263 4
17 311 4
17 619 6
17 790 5
17 839 6
17 848 1
17 1227 9
17 1437 7
17 1518 8
17 1545 7
17 1600 7
17 1705 5
17 1965 9
17 2036 4
17 2155 5
17 2427 4
17 2480 4
17 2488 3
17 2558 3
17 2573 3
17 2793 2
17 2816 5
17 2837 4
17 3000 2
17 3145 8
17 3159 1
17 3211 10
17 3316 3
17 3333 5
17 3955 1
17 4173 8
17 4181 10
17 4284 5
17 4409 6
17 4958 1
17 4967 2
18 32 6
18 62 1
18 84 8
18 113 1
18 312 2
18 503 10
18 512 7
18 545 5
18 603 6
18 653 10
18 688 2
18 738 7
18 745 2
18 840 6
18 907 10
18 970 10
18 973 2
18 1021 8
18 1028 9
18 1041 1
18 1245 3
18 1272 5
18 1463 8
18 1479 3
18 1570 1
18 1594 4
18 1600 8
18 1604 7
18 1679 8
18 1688 1
18 1800 4
18 1866 2
18 1896 3
18 2149 5
18 2179 4
18 2181 3
18 2316 8
18 2484 9
18 2577 9
18 2799 5
18 2975 5
18 3166 6
18 3187 5
18 3810 10
18 3860 9
18 3907 7
18 3951 8
18 3952 9
18 3996 9
18 4006 5
18 4072 5
18 4099 9
18 4295 5
18 4299 3
18 4339 5
18 4375 4
18 4378 1
18 4584 4
18 4632 3
18 4833 3
18 4922 5
19 23 4
19 67 6
19 94 1
19 169 6
19 210 9
19 253 4
19 307 8
19 445 1
19 530 2
19 780 9
19 818 3
19 845 10
19 975 4
19 1087 10
19 1102 10
19 1221 8
19 1397 2
19 1473 8
19 1643 3
19 2226 6
19 2239 5
19 2375 6
19 2418 2
19 2440 9
19 2676 3
19 2844 6
19 2845 5
19 2960 4
19 2997 9
19 3101 10
19 3205 1
19 3325 10
19 3734 6
19 3740 1
19 3843 7
19 3886 4
19 3962 4
19 3981 10
19 3985 3
19 4081 10
19 4349 4
19 4472 9
19 4609 7
19 4898 1
19 4980 4
20 22 3
20 120 4
20 239 5
20 414 7
20 416 10
20 609 3
20 660 8
20 667 1
20 801 1
20 908 8
20 938 9
20 946 5
20 1135 5
20 1223 4
20 1289 3
20 1382 4
20 1386 6
20 1445 4
20 1539 6
20 1565 8
20 1578 6
20 1765 5
20 1832 2
20 1876 5
20 1963 1
20 2132 8
20 2284 1
20 2534 10
20 2542 7
20 2568 1
20 2580 5
20 2791 1
20 3117 4
20 3431 1
20 3532 4
20 3558 1
20 3738 2
20 3818 6
20 3853 6
20 4141 3
20 4631 6
20 4751 10
20 4810 2
21 43 1
21 76 9
21 87 3
21 173 7
21 208 2
21 209 6
21 346 2
21 531 2
21 532 5
21 637 4
21 638 6
21 798 2
21 943 5
21 1064 1
21 1314 4
21 1482 7
21 1543 6
21 1590 1
21 1871 3
21 1916 3
21 1964 5
21 1971 10
21 2016 1
21 2422 6
21 2463 3
21 2470 4
21 2489 10
21 2496 7
21 2585 8
21 2597 10
21 2627 1
21 3227 5
21 3237 8
21 3305 8
21 3780 2
21 3889 3
21 3972 2
21 4103 1
21 4121 1
21 4199 1
21 4266 5
21 4293 7
21 4298 2
21 4308 3
21 4528 5
21 4604 8
21 4641 9
21 4838 10
21 4902 1
22 35 7
22 195 9
22 214 9
22 446 1
22 457 4
22 695 2
22 826 4
22 851 10
22 854 1
22 992 8
22 1506 4
22 1578 3
22 1591 9
22 1698 7
22 1711 9
22 1775 7
22 1871 10
22 1970 2
22 2004 9
22 2126 7
22 2146 7
22 2285 3
22 2487 9
22 2557 10
22 2606 4
22 2795 7
22 2799 7
22 2834 4
22 2848 3
22 3306 10
22 3379 1
22 3486 5
22 3614 7
22 4152 9
22 4334 3
22 4510 10
22 4685 2
22 4698 7
22 4819 6
22 4878 4
22 4979 6
23 24 10
23 39 4
23 40 6
23 91 1
23 92 7
23 95 7
23 121 4
23 141 2
23 298 3
23 315 7
23 624 2
23 631 9
23 679 2
23 1013 9
23 1275 1
23 1294 2
23 1314 5
23 1346 2
23 1461 4
