2000 10000
0 1 9
0 3 7
0 4 9
0 10 1
0 13 8
0 100 2
0 257 8
0 310 9
0 388 8
0 506 5
0 634 5
0 639 9
0 1536 2
0 1760 3
0 1899 1
1 2 2
1 20 7
1 22 1
1 32 9
1 131 2
1 151 10
1 273 1
1 295 4
1 299 1
1 376 6
1 596 10
1 829 2
1 1732 10
1 1838 7
1 1971 7
2 5 10
2 6 7
2 36 6
2 63 5
2 81 5
2 585 4
2 589 1
2 690 8
2 1351 4
2 1914 5
2 1940 6
3 18 7
3 82 1
3 86 2
3 182 10
3 288 1
3 387 10
3 599 9
3 834 2
3 979 2
3 1160 1
3 1311 6
4 17 9
4 30 6
4 91 5
4 110 8
4 218 6
4 1025 10
4 1039 2
4 1059 6
4 1441 9
4 1456 1
4 1486 5
4 1633 6
4 1687 9
4 1734 1
4 1768 5
4 1875 5
5 11 9
5 25 6
5 80 2
5 96 4
5 209 10
5 425 8
5 746 5
5 917 7
5 997 3
5 1055 1
5 1073 10
5 1076 8
5 1518 9
5 1687 6
5 1770 9
6 7 7
6 8 9
6 180 3
6 195 10
6 258 10
6 301 7
6 579 7
6 669 8
6 712 6
6 1965 8
7 9 10
7 27 7
7 36 6
7 1050 2
7 1184 3
7 1449 9
8 29 6
8 260 4
8 279 7
8 388 4
8 421 8
8 434 7
8 1099 3
8 1361 9
8 1521 7
8 1602 1
8 1674 8
8 1759 9
8 1801 6
8 1875 1
8 1880 3
9 19 5
9 26 8
9 88 8
9 95 1
9 376 1
9 414 2
9 604 3
9 697 5
9 711 5
9 982 3
9 1100 5
9 1176 4
9 1536 5
9 1596 9
9 1670 8
10 14 7
10 15 6
10 52 9
10 266 3
10 390 7
10 525 3
10 1287 2
10 1322 3
10 1450 3
11 12 8
11 16 7
11 22 8
11 28 1
11 43 10
11 98 1
11 99 6
11 144 2
11 192 8
11 244 10
11 523 10
11 566 4
11 610 2
11 717 8
11 880 9
11 970 5
11 1051 9
11 1213 5
11 1254 10
11 1481 2
11 1507 2
11 1731 2
12 24 8
12 34 1
12 55 3
12 74 8
12 91 7
12 168 2
12 382 1
12 415 1
12 559 6
12 635 4
12 981 6
12 982 2
12 1052 6
12 1308 4
12 1375 9
12 1580 5
13 23 5
13 31 2
13 40 4
13 61 5
13 203 3
13 211 8
13 471 10
13 628 3
13 636 6
13 654 3
13 877 10
13 894 5
13 906 1
13 1014 4
13 1251 8
13 1331 7
13 1502 8
13 1521 4
13 1545 9
13 1671 4
13 1931 3
14 41 5
14 47 2
14 50 1
14 347 2
14 378 2
14 558 1
14 779 7
14 786 8
14 800 5
14 1491 7
14 1808 10
14 1999 2
15 208 5
15 545 4
15 787 10
15 814 5
15 816 3
15 1224 8
15 1523 3
15 1881 2
15 1968 10
16 21 4
16 45 7
16 51 5
16 119 5
16 122 4
16 253 8
16 413 4
16 462 4
16 512 3
16 892 10
16 1170 9
16 1194 9
16 1631 3
16 1914 3
17 40 9
17 188 7
17 223 4
17 241 8
17 399 6
17 400 2
17 502 9
17 622 2
17 691 4
17 864 2
17 1077 9
17 1165 10
17 1219 10
18 27 7
18 32 10
18 39 8
18 59 10
18 97 10
18 103 5
18 475 2
18 549 7
18 865 10
18 927 7
18 953 3
18 974 2
18 1128 2
18 1190 5
18 1344 1
18 1430 9
18 1471 10
18 1816 2
18 1982 2
19 38 5
19 57 7
19 365 3
19 405 5
19 477 9
19 521 10
19 524 7
19 653 4
19 691 8
19 820 2
19 1008 6
19 1836 8
20 85 7
20 126 1
20 226 10
20 509 8
20 671 2
20 700 4
20 707 6
20 891 3
20 1056 7
20 1073 6
20 1103 1
20 1228 8
20 1260 3
20 1317 6
20 1405 6
20 1998 9
21 44 9
21 63 7
21 197 2
21 368 5
21 577 6
21 752 8
21 832 1
21 980 10
21 981 4
21 1120 1
21 1207 6
21 1872 3
22 30 6
22 196 3
22 252 3
22 327 10
22 441 2
22 669 2
22 672 7
22 875 6
22 878 4
22 966 3
22 972 6
22 1032 3
22 1075 10
22 1119 5
22 1857 4
23 120 2
23 265 7
23 546 4
23 918 7
23 999 6
23 1120 2
23 1202 4
23 1470 9
23 1565 2
24 53 10
24 134 9
24 184 9
24 414 8
24 430 4
24 441 9
24 589 10
24 718 6
24 825 2
24 967 10
24 1244 7
24 1481 2
24 1532 3
24 1970 8
25 132 8
25 455 1
25 456 2
25 551 6
25 1372 3
25 1396 3
25 1601 2
25 1997 8
26 36 7
26 538 8
26 583 10
26 869 8
26 1578 2
26 1907 1
27 33 5
27 35 9
27 55 5
27 78 6
27 96 7
27 113 5
27 118 2
27 241 7
27 269 9
27 294 8
27 304 6
27 423 6
27 453 5
27 479 8
27 766 5
27 835 6
27 1089 7
27 1274 9
27 1321 6
27 1323 3
27 1386 10
27 1393 5
27 1525 2
28 68 3
28 93 9
28 269 7
28 811 6
28 813 6
28 932 10
28 996 4
28 1315 3
28 1348 6
29 42 3
29 100 10
29 124 4
29 172 3
29 174 3
29 352 6
29 435 5
29 501 9
29 684 9
29 743 7
29 978 6
29 1185 4
29 1353 5
29 1817 8
29 1856 7
29 1931 6
30 64 5
30 159 6
30 395 8
30 576 4
30 642 3
30 999 8
30 1128 1
30 1525 7
30 1839 5
30 1874 3
30 1890 9
31 164 3
31 204 8
31 257 2
31 412 2
31 560 7
31 646 3
31 1006 10
31 1034 10
31 1249 6
31 1258 7
31 1364 6
31 1456 6
31 1689 1
32 48 2
32 272 2
32 398 1
32 484 6
32 486 3
32 604 3
32 638 1
32 719 8
32 744 3
32 764 2
32 799 5
32 846 2
32 1157 10
32 1269 2
32 1330 10
32 1335 2
32 1627 5
32 1850 1
32 1971 3
33 92 6
33 294 7
33 420 4
33 471 2
33 481 8
33 760 7
33 1130 9
33 1884 3
34 37 7
34 67 6
34 71 1
34 108 5
34 113 7
34 165 7
34 380 1
34 401 2
34 450 7
34 548 3
34 613 9
34 851 3
34 1039 5
34 1199 1
34 1227 3
34 1342 9
34 1383 7
34 1567 9
34 1688 9
35 46 6
35 788 8
35 834 7
35 836 5
35 1825 7
36 70 9
36 234 5
36 792 7
36 841 6
36 1088 4
36 1453 6
36 1655 9
36 1880 5
37 78 1
37 80 7
37 183 10
37 235 4
37 321 3
37 364 6
37 386 7
37 446 2
37 645 8
37 887 10
38 49 7
38 58 7
38 261 4
38 548 8
38 759 4
38 1015 9
38 1021 5
38 1034 8
38 1428 9
38 1747 8
38 1884 6
39 271 10
39 314 5
39 453 7
39 481 1
39 582 3
39 675 7
39 694 1
39 1000 10
39 1189 4
39 1236 9
39 1431 8
39 1438 2
39 1518 3
39 1600 5
39 1632 1
39 1829 4
40 77 6
40 193 10
40 297 2
40 393 2
40 695 8
40 718 9
40 890 1
40 896 7
40 1007 5
40 1313 10
40 1353 9
40 1368 2
40 1397 8
40 1472 10
40 1550 7
40 1623 7
41 51 6
41 107 5
41 296 6
41 606 8
41 1041 1
41 1092 6
41 1883 5
42 65 9
42 73 5
42 75 1
42 163 1
42 182 5
42 517 3
42 588 5
42 695 1
42 932 7
42 1414 8
42 1630 1
42 1819 3
42 1938 4
43 84 5
43 766 8
43 982 2
43 1291 6
43 1315 1
43 1798 6
43 1967 6
44 66 2
44 203 2
44 222 6
44 309 7
44 493 5
44 1042 5
44 1399 8
44 1823 8
44 1874 8
44 1911 5
45 75 6
45 109 5
45 190 4
45 323 5
45 447 8
45 1325 5
45 1355 2
45 1687 4
46 102 6
46 103 4
46 175 8
46 178 8
46 590 5
46 1035 3
46 1059 7
46 1170 8
46 1309 4
46 1428 7
46 1621 5
46 1766 4
46 1774 8
46 1785 4
47 127 7
47 441 3
47 653 3
47 668 2
47 736 1
47 924 6
47 938 3
47 964 6
47 970 8
47 996 2
47 1183 1
47 1889 5
48 151 9
48 158 10
48 396 4
48 447 8
48 526 8
48 571 8
48 594 1
48 753 4
48 1296 7
48 1500 6
48 1618 10
48 1903 2
48 1971 2
49 90 3
49 160 9
49 217 9
49 376 4
49 1114 8
49 1118 2
49 1183 9
49 1352 1
49 1445 5
49 1519 9
49 1620 2
49 1813 7
50 54 1
50 65 6
50 69 9
50 79 6
50 82 9
50 101 5
50 147 8
50 180 6
50 305 8
50 744 3
50 808 7
50 838 5
50 1258 4
50 1310 7
50 1460 8
50 1489 3
50 1984 8
51 56 2
51 71 10
51 83 8
51 118 7
51 159 6
51 359 3
51 389 8
51 403 9
51 1055 1
51 1168 1
51 1435 1
51 1460 7
51 1576 8
51 1649 6
51 1653 4
51 1858 4
51 1954 8
52 60 3
52 105 8
52 550 3
52 587 10
