200 200
0 0 983
0 1 1402
0 2 866
0 3 1332
0 4 1748
0 5 1253
0 6 1183
0 7 1272
0 8 1098
0 9 364
0 10 1130
0 11 699
0 12 711
0 13 1333
0 14 1362
0 15 830
0 16 1220
0 17 1236
0 18 724
0 19 1242
0 20 462
0 21 1075
0 22 623
0 23 880
0 24 1197
0 25 1609
0 26 1130
0 27 482
0 28 1240
0 29 1505
0 30 1007
0 31 1574
0 32 638
0 33 976
0 34 1265
0 35 1524
0 36 998
0 37 233
0 38 529
0 39 1204
0 40 282
0 41 1356
0 42 1146
0 43 866
0 44 1154
0 45 847
0 46 1088
0 47 619
0 48 764
0 49 1297
0 50 457
0 51 992
0 52 795
0 53 674
0 54 1642
0 55 889
0 56 377
0 57 919
0 58 727
0 59 603
0 60 1272
0 61 1366
0 62 189
0 63 1117
0 64 1800
0 65 777
0 66 1123
0 67 1950
0 68 1323
0 69 901
0 70 922
0 71 1114
0 72 1103
0 73 736
0 74 933
0 75 827
0 76 991
0 77 1048
0 78 603
0 79 1134
0 80 835
0 81 759
0 82 1150
0 83 1048
0 84 1324
0 85 216
0 86 1091
0 87 1485
0 88 2005
0 89 795
0 90 711
0 91 691
0 92 1391
0 93 1020
0 94 1411
0 95 984
0 96 907
0 97 2291
0 98 744
0 99 1119
0 100 573
0 101 1083
0 102 1085
0 103 570
0 104 903
0 105 1301
0 106 1148
0 107 1884
0 108 783
0 109 1699
0 110 379
0 111 1137
0 112 739
0 113 975
0 114 1094
0 115 1282
0 116 1481
0 117 788
0 118 1033
0 119 631
0 120 837
0 121 412
0 122 914
0 123 697
0 124 1230
0 125 480
0 126 1011
0 127 330
0 128 1686
0 129 1094
0 130 727
0 131 1536
0 132 741
0 133 270
0 134 1672
0 135 147
0 136 704
0 137 1045
0 138 522
0 139 1372
0 140 794
0 141 1137
0 142 751
0 143 414
0 144 994
0 145 1376
0 146 733
0 147 911
0 148 1213
0 149 718
0 150 761
0 151 1126
0 152 1384
0 153 1019
0 154 1064
0 155 1390
0 156 1997
0 157 1100
0 158 912
0 159 638
0 160 888
0 161 1676
0 162 504
0 163 677
0 164 1040
0 165 222
0 166 1694
0 167 1007
0 168 472
0 169 815
0 170 1404
0 171 1508
0 172 929
0 173 819
0 174 1036
0 175 1201
0 176 922
0 177 1266
0 178 1199
0 179 711
0 180 902
0 181 871
0 182 881
0 183 780
0 184 1017
0 185 1241
0 186 1619
0 187 1278
0 188 1499
0 189 972
0 190 1011
0 191 577
0 192 1450
0 193 1210
0 194 1544
0 195 1314
0 196 214
0 197 1631
0 198 880
0 199 1405
1 0 350
1 1 665
1 2 1136
1 3 1055
1 4 688
1 5 467
1 6 959
1 7 790
1 8 596
1 9 945
1 10 1404
1 11 657
1 12 1190
1 13 1518
1 14 887
1 15 1314
1 16 722
1 17 1075
1 18 642
1 19 416
1 20 328
1 21 1040
1 22 590
1 23 1363
1 24 794
1 25 1383
1 26 989
1 27 659
1 28 1371
1 29 924
1 30 937
1 31 1767
1 32 649
1 33 1201
1 34 1002
1 35 673
1 36 244
1 37 676
1 38 657
1 39 1256
1 40 1065
1 41 860
1 42 922
1 43 244
1 44 820
1 45 828
1 46 858
1 47 760
1 48 510
1 49 1714
1 50 507
1 51 308
1 52 961
1 53 587
1 54 1366
1 55 51
1 56 627
1 57 1034
1 58 1125
1 59 1256
1 60 325
1 61 1191
1 62 1396
1 63 999
1 64 721
1 65 1173
1 66 708
1 67 772
1 68 899
1 69 678
1 70 706
1 71 1352
1 72 590
1 73 1037
1 74 311
1 75 546
1 76 344
1 77 738
1 78 573
1 79 312
1 80 564
1 81 348
1 82 885
1 83 1111
1 84 601
1 85 317
1 86 843
1 87 819
1 88 1622
1 89 933
1 90 450
1 91 782
1 92 1061
1 93 582
1 94 387
1 95 933
1 96 936
1 97 1581
1 98 885
1 99 987
1 100 974
1 101 1047
1 102 1341
1 103 1755
1 104 906
1 105 651
1 106 1027
1 107 1154
1 108 651
1 109 623
1 110 780
1 111 93
1 112 668
1 113 881
1 114 1478
1 115 966
1 116 625
1 117 1529
1 118 749
1 119 1111
1 120 667
1 121 1702
1 122 628
1 123 764
1 124 744
1 125 1199
1 126 871
1 127 517
1 128 765
1 129 1582
1 130 581
1 131 1003
1 132 840
1 133 485
1 134 1165
1 135 526
1 136 1563
1 137 884
1 138 962
1 139 1012
1 140 687
1 141 1218
1 142 828
1 143 1905
1 144 833
1 145 1861
1 146 1051
1 147 1222
1 148 871
1 149 992
1 150 992
1 151 1364
1 152 700
1 153 1960
1 154 1323
1 155 1465
1 156 1083
1 157 873
1 158 687
1 159 1017
1 160 787
1 161 868
1 162 354
1 163 555
1 164 566
1 165 484
1 166 1143
1 167 627
1 168 556
1 169 814
1 170 836
1 171 1003
1 172 1586
1 173 331
1 174 728
1 175 1018
1 176 1316
1 177 1149
1 178 710
1 179 450
1 180 1062
1 181 1647
1 182 1060
1 183 1192
1 184 1078
1 185 441
1 186 615
1 187 611
1 188 1105
1 189 984
1 190 708
1 191 557
1 192 1049
1 193 1001
1 194 1101
1 195 848
1 196 259
1 197 1209
1 198 275
1 199 1390
2 0 762
2 1 707
2 2 361
2 3 678
2 4 267
2 5 449
2 6 446
2 7 173
2 8 522
2 9 972
2 10 707
2 11 248
2 12 585
2 13 313
2 14 410
2 15 194
2 16 728
2 17 614
2 18 90
2 19 465
2 20 108
2 21 294
2 22 257
2 23 683
2 24 328
2 25 610
2 26 155
2 27 999
2 28 661
2 29 295
2 30 280
2 31 565
2 32 291
2 33 347
2 34 604
2 35 225
2 36 414
2 37 753
2 38 387
2 39 527
2 40 443
2 41 364
2 42 323
2 43 898
2 44 926
2 45 720
2 46 319
2 47 150
2 48 160
2 49 581
2 50 744
2 51 853
2 52 1032
2 53 435
2 54 591
2 55 195
2 56 709
2 57 390
2 58 800
2 59 648
2 60 205
2 61 608
2 62 583
2 63 204
2 64 770
2 65 469
2 66 209
2 67 409
2 68 329
2 69 812
2 70 738
2 71 361
2 72 547
2 73 615
2 74 445
2 75 765
2 76 756
2 77 104
2 78 371
2 79 276
2 80 535
2 81 601
2 82 634
2 83 599
2 84 339
2 85 14
2 86 563
2 87 952
2 88 561
2 89 486
2 90 375
2 91 252
2 92 801
2 93 525
2 94 507
2 95 119
2 96 437
2 97 1192
2 98 648
2 99 566
2 100 225
2 101 236
2 102 224
2 103 872
2 104 456
2 105 267
2 106 509
2 107 732
2 108 227
2 109 168
2 110 338
2 111 391
2 112 193
2 113 558
2 114 560
2 115 328
2 116 604
2 117 109
2 118 428
2 119 769
2 120 389
2 121 1100
2 122 402
2 123 454
2 124 437
2 125 213
2 126 554
2 127 813
2 128 714
2 129 461
2 130 662
2 131 478
2 132 190
2 133 72
2 134 395
2 135 618
2 136 829
2 137 655
2 138 378
2 139 299
2 140 566
2 141 503
2 142 300
2 143 839
2 144 123
2 145 481
2 146 453
2 147 459
2 148 866
2 149 751
2 150 719
2 151 932
2 152 1102
2 153 378
2 154 914
2 155 611
2 156 525
2 157 347
2 158 167
2 159 332
2 160 392
2 161 761
2 162 335
2 163 255
2 164 753
2 165 762
2 166 358
2 167 177
2 168 479
2 169 183
2 170 826
2 171 467
2 172 910
2 173 255
2 174 332
2 175 471
2 176 136
2 177 895
2 178 698
2 179 287
2 180 591
2 181 534
2 182 622
2 183 454
2 184 319
2 185 251
2 186 802
2 187 550
2 188 521
2 189 367
2 190 610
2 191 318
2 192 152
2 193 889
2 194 223
2 195 552
2 196 205
2 197 299
2 198 1067
2 199 546
3 0 1156
3 1 573
3 2 1468
3 3 711
3 4 1131
3 5 586
3 6 2217
3 7 1272
3 8 598
3 9 891
3 10 1568
3 11 1361
3 12 805
3 13 1337
3 14 698
3 15 769
3 16 733
3 17 1284
3 18 917
3 19 836
3 20 642
3 21 1023
3 22 666
3 23 2170
3 24 1411
3 25 1350
3 26 1650
3 27 1215
3 28 442
3 29 573
3 30 370
3 31 1365
3 32 423
3 33 1162
3 34 1302
3 35 1173
3 36 860
3 37 466
3 38 653
3 39 1929
3 40 1497
3 41 599
3 42 1631
3 43 996
3 44 1473
3 45 1039
3 46 1777
3 47 464
3 48 710
3 49 1299
3 50 677
3 51 1098
3 52 630
3 53 736
3 54 882
3 55 973
3 56 1167
3 57 675
3 58 1813
3 59 342
3 60 1180
3 61 679
3 62 571
3 63 1350
3 64 910
3 65 519
3 66 912
3 67 1077
3 68 1091
3 69 869
3 70 852
3 71 1081
3 72 1209
3 73 989
3 74 1094
3 75 1473
3 76 962
3 77 1456
3 78 821
3 79 634
3 80 319
3 81 1397
3 82 1144
3 83 1125
3 84 1173
3 85 930
3 86 1101
3 87 1106
3 88 735
3 89 1086
3 90 951
3 91 1527
3 92 964
3 93 853
3 94 798
3 95 1462
3 96 2277
3 97 966
3 98 1609
3 99 2033
3 100 1776
3 101 923
3 102 1446
3 103 321
3 104 1313
3 105 958
3 106 1455
3 107 757
3 108 1700
3 109 1560
3 110 1328
3 111 1367
3 112 902
3 113 1605
3 114 1328
3 115 1763
3 116 932
3 117 2074
3 118 447
3 119 623
3 120 1041
3 121 1476
3 122 1259
3 123 313
3 124 996
3 125 858
3 126 875
3 127 912
3 128 996
3 129 969
3 130 1158
3 131 1157
3 132 870
3 133 470
3 134 872
3 135 825
3 136 1154
3 137 1673
3 138 402
3 139 1891
3 140 852
3 141 1693
3 142 789
3 143 1249
3 144 1350
3 145 572
3 146 1263
3 147 1458
3 148 1326
3 149 971
3 150 1137
3 151 404
