200 200
0 0 22625
0 1 21113
0 2 22551
0 3 23357
0 4 21059
0 5 21444
0 6 23707
0 7 21181
0 8 22064
0 9 21406
0 10 20989
0 11 21757
0 12 21746
0 13 23951
0 14 22983
0 15 22238
0 16 19753
0 17 20807
0 18 22264
0 19 21203
0 20 20447
0 21 21755
0 22 21993
0 23 21387
0 24 21298
0 25 19919
0 26 23438
0 27 21913
0 28 22342
0 29 22042
0 30 20624
0 31 21671
0 32 21703
0 33 22667
0 34 20787
0 35 19891
0 36 23077
0 37 21383
0 38 20842
0 39 22553
0 40 21901
0 41 22903
0 42 23444
0 43 23275
0 44 22654
0 45 20356
0 46 20466
0 47 21519
0 48 22417
0 49 22205
0 50 22291
0 51 22740
0 52 22057
0 53 21725
0 54 22498
0 55 20858
0 56 22559
0 57 21273
0 58 21351
0 59 22124
0 60 21653
0 61 20959
0 62 21712
0 63 22405
0 64 20843
0 65 20967
0 66 23000
0 67 23133
0 68 21515
0 69 22508
0 70 22166
0 71 20188
0 72 20385
0 73 20874
0 74 20242
0 75 21213
0 76 22102
0 77 22920
0 78 22069
0 79 20199
0 80 20564
0 81 22160
0 82 21473
0 83 21601
0 84 20453
0 85 21806
0 86 20952
0 87 21659
0 88 23021
0 89 22247
0 90 23027
0 91 21150
0 92 22818
0 93 21277
0 94 20830
0 95 20708
0 96 21719
0 97 21064
0 98 22808
0 99 21984
0 100 22903
0 101 22253
0 102 20779
0 103 20887
0 104 22902
0 105 22027
0 106 21498
0 107 21390
0 108 20732
0 109 22077
0 110 19429
0 111 22350
0 112 20690
0 113 20458
0 114 21878
0 115 22919
0 116 19719
0 117 22437
0 118 22886
0 119 20716
0 120 21247
0 121 22215
0 122 21564
0 123 22513
0 124 22850
0 125 22850
0 126 23829
0 127 22686
0 128 23143
0 129 21178
0 130 20439
0 131 21346
0 132 22198
0 133 22639
0 134 21384
0 135 20106
0 136 22876
0 137 21481
0 138 23016
0 139 21357
0 140 23134
0 141 21953
0 142 20977
0 143 22654
0 144 21632
0 145 21008
0 146 21866
0 147 20951
0 148 20645
0 149 20449
0 150 24041
0 151 21268
0 152 21524
0 153 21279
0 154 22943
0 155 21719
0 156 21565
0 157 21885
0 158 22537
0 159 21848
0 160 21853
0 161 23037
0 162 21554
0 163 22884
0 164 21640
0 165 22102
0 166 21422
0 167 21785
0 168 22148
0 169 20930
0 170 23134
0 171 21933
0 172 22600
0 173 21763
0 174 21908
0 175 21448
0 176 21587
0 177 21429
0 178 20404
0 179 21271
0 180 22072
0 181 22537
0 182 20876
0 183 20881
0 184 19955
0 185 21997
0 186 20549
0 187 20782
0 188 21184
0 189 22181
0 190 20632
0 191 22380
0 192 21477
0 193 20687
0 194 21936
0 195 20254
0 196 22346
